Part Name,Link,Vendor,Qty,Price Per Unit,Total Item Price,Item Notes
,,,,,,
Toggle On Off Switch,https://www.aliexpress.us/item/3256806092929837.html?spm=a2g0o.productlist.main.17.420015baoNkYaR&algo_pvid=9d164bee-3f27-4d8c-ae39-5e8916dbb3e6&algo_exp_id=9d164bee-3f27-4d8c-ae39-5e8916dbb3e6-18&pdp_ext_f=%7B%22order%22%3A%221306%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.80%211.70%21%21%2112.66%2111.96%21%402101f54117647420068076545e6376%2112000036585817824%21sea%21US%212678897144%21X%211%210%21n_tag%3A-29919%3Bd%3Aff45761e%3Bm03_new_user%3A-29895&curPageLogUid=mY2dHjlF89ns&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006279244589%7C_p_origin_prod%3A#nav-specification,Aliexpress,1,$2.14,$2.14,No Lamp Option
Arctic Pro Fan,https://www.amazon.com/ARCTIC-P12-Pro-Powerful-600-3000/dp/B0DJDC74BP/ref=sr_1_3?crid=2OIRGKJS9Q7VP&dib=eyJ2IjoiMSJ9.R5mulE5KobzoQGRph30XLjmTdiJI0a3YmEyapXnWEZzTlGVfN10my7PbUcYM1VnPrwTvdRi6Zv7N13aCLXmpSGfayjV9lqILse-TMK8VokvQJjnIxKXuKEjguvR6BDGBlYUI_A1UlugUHJ-9KwZXToWvK9u4blo_PyRbgWkl3tuwfsf0JD2bF28HamoVsPiTYFEHCadIqilPiZtvxeSpV-_FaZ5k7c5ov8fcO0R0JCM.WOvL4abPgdFaSyIYsiiWpUHapU5ysLsrjSe31CNRkUU&dib_tag=se&keywords=arctic+p12&qid=1764645268&sprefix=arctic+p12%2Caps%2C133&sr=8-3,Amazon,1,$8.49,$8.49,Same price as Aliexpress ones but higher CFM
Speed Control Knob,https://www.aliexpress.us/item/3256806841285775.html?spm=a2g0o.productlist.main.1.1ed51e37ZhbRSW&algo_pvid=74bcc84c-2405-454c-bfea-38c8a9e72917&algo_exp_id=74bcc84c-2405-454c-bfea-38c8a9e72917-0&pdp_ext_f=%7B%22order%22%3A%222945%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.23%211.52%21%21%2115.65%2110.64%21%402101d6ff17647943197315271eaa03%2112000039142592910%21sea%21US%212678897144%21X%211%210%21n_tag%3A-29919%3Bd%3Aff45761e%3Bm03_new_user%3A-29895&curPageLogUid=h0o4hARSVcNu&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007027600527%7C_p_origin_prod%3A#nav-specification,Aliexpress,1,$2.05,$2.05,10k OHM
Wire,https://www.aliexpress.us/item/3256807223924930.html?spm=a2g0o.productlist.main.16.77e66264lU41dY&algo_pvid=5359793c-3e14-45e3-bac6-43fc32b65d4c&algo_exp_id=5359793c-3e14-45e3-bac6-43fc32b65d4c-15&pdp_ext_f=%7B%22order%22%3A%22819%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%217.81%213.87%21%21%2154.86%2127.15%21%402101f70717648033992265394e0f38%2112000040692066633%21sea%21US%212678897144%21X%211%210%21n_tag%3A-29919%3Bd%3Aff45761e%3Bm03_new_user%3A-29895%3BpisId%3A5000000194156010&curPageLogUid=vZU5MKCxRj3q&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007410239682%7C_p_origin_prod%3A,Aliexpress,1,$2.21,$2.21,RB 3M
XT60 Connector,https://www.aliexpress.us/item/3256807190011486.html?spm=a2g0o.order_list.order_list_main.53.344a1802Ti4sc5&gatewayAdapt=glo2usa,Aliexpress,1,$1.88,$1.88,Female
M3 Heat Set Inserts,https://www.aliexpress.us/item/3256803396040989.html?spm=a2g0o.productlist.main.3.5a545a2doCgtd4&algo_pvid=277169ca-7550-4ab7-9075-5d46f8a00759&algo_exp_id=277169ca-7550-4ab7-9075-5d46f8a00759-2&pdp_ext_f=%7B%22order%22%3A%2215429%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.77%211.60%21%21%211.77%211.60%21%402101c44f17647316994855232ebfc4%2112000026370649723%21sea%21US%212678897144%21X%211%210%21n_tag%3A-29919%3Bd%3Aff45761e%3Bm03_new_user%3A-29895&curPageLogUid=HrDCkrxltSyF&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003582355741%7C_p_origin_prod%3A&_gl=1*5sf0yo*_gcl_aw*R0NMLjE3NjQ2MjgxNjMuQ2p3S0NBaUFsclhKQmhCQUVpd0EtNXBnd2tYaVIzcHd0NFBYd21WSGpzU09RS0ZiUFRKUWk2QXFTNXBLTEFVZDByWHBNV1I4aDJaU3B4b0NkaVVRQXZEX0J3RQ..*_gcl_dc*R0NMLjE3NjQ2MjgxNjMuQ2p3S0NBaUFsclhKQmhCQUVpd0EtNXBnd2tYaVIzcHd0NFBYd21WSGpzU09RS0ZiUFRKUWk2QXFTNXBLTEFVZDByWHBNV1I4aDJaU3B4b0NkaVVRQXZEX0J3RQ..*_gcl_au*MTAxODg5MzUxMi4xNzU3NDM1NDU2*_ga*MzkxMzc3NTQ3LjE3NjQ2MTMzMzI.*_ga_VED1YSGNC7*czE3NjQ3MzE2OTIkbzMkZzEkdDE3NjQ3MzE3MDAkajUyJGwwJGgw,Aliexpress,1,$1.89,$1.89,M3 OD 4.2mm Length 3mm
OLED Screen,https://www.aliexpress.us/item/3256807264700302.html?spm=a2g0o.productlist.main.5.136214d8NPoeys&algo_pvid=46ddf654-c699-415e-afee-b17a75892137&algo_exp_id=46ddf654-c699-415e-afee-b17a75892137-4&pdp_ext_f=%7B%22order%22%3A%221275%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.89%212.56%21%21%212.89%212.56%21%402101d49617647414454507281eda4c%2112000040806152743%21sea%21US%212678897144%21X%211%210%21n_tag%3A-29919%3Bd%3Aff45761e%3Bm03_new_user%3A-29895&curPageLogUid=vd8nPepHN2uf&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007451015054%7C_p_origin_prod%3A&_gl=1*1yt8vhl*_gcl_aw*R0NMLjE3NjQ2MjgxNjMuQ2p3S0NBaUFsclhKQmhCQUVpd0EtNXBnd2tYaVIzcHd0NFBYd21WSGpzU09RS0ZiUFRKUWk2QXFTNXBLTEFVZDByWHBNV1I4aDJaU3B4b0NkaVVRQXZEX0J3RQ..*_gcl_dc*R0NMLjE3NjQ2MjgxNjMuQ2p3S0NBaUFsclhKQmhCQUVpd0EtNXBnd2tYaVIzcHd0NFBYd21WSGpzU09RS0ZiUFRKUWk2QXFTNXBLTEFVZDByWHBNV1I4aDJaU3B4b0NkaVVRQXZEX0J3RQ..*_gcl_au*MTAxODg5MzUxMi4xNzU3NDM1NDU2*_ga*MzkxMzc3NTQ3LjE3NjQ2MTMzMzI.*_ga_VED1YSGNC7*czE3NjQ3NDE0NDAkbzUkZzEkdDE3NjQ3NDE0NDYkajU0JGwwJGgw#nav-review,Aliexpress,1,$2.70,$2.70,4P White
Arduino Nano,https://www.aliexpress.us/item/3256807121866025.html?spm=a2g0o.productlist.main.2.5b2e6f37mksSZs&algo_pvid=f8835539-96f0-4420-b8c1-d1f0eef16509&algo_exp_id=f8835539-96f0-4420-b8c1-d1f0eef16509-1&pdp_ext_f=%7B%22order%22%3A%226137%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005007308180777%22%2C%22orig_item_id%22%3A%221005007885920753%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%214.99%212.49%21%21%2135.10%2117.55%21%402103123917647454595404994efc12%2112000040185939071%21sea%21US%212678897144%21X%211%210%21n_tag%3A-29919%3Bd%3Aff45761e%3Bm03_new_user%3A-29895&curPageLogUid=9w3EKhnK5ofq&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007308180777%7C_p_origin_prod%3A1005007885920753,Aliexpress,1,$4.24,$4.24,Type-C USB Welding
PCB,Screenshot,JCLPCB,1,$7.12,$7.12,
Rubber Feet,https://www.aliexpress.us/item/3256804119199524.html?spm=a2g0o.productlist.main.7.98c8B5qoB5qov8&algo_pvid=e64456f5-288e-42b4-89b4-7df8004fd7c5&algo_exp_id=e64456f5-288e-42b4-89b4-7df8004fd7c5-6&pdp_ext_f=%7B%22order%22%3A%222263%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.91%211.79%21%21%211.91%211.79%21%402101eecd17648046006732130eb40d%2112000028693926367%21sea%21US%212678897144%21X%211%210%21n_tag%3A-29919%3Bd%3Aff45761e%3Bm03_new_user%3A-29895&curPageLogUid=H6m8WbO7FlN6&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004305514276%7C_p_origin_prod%3A,Aliexpress,1,$2.35,$2.35,
4 Wire Screw Terminal,https://www.aliexpress.us/item/3256806456550715.html?spm=a2g0o.productlist.main.2.d37111d74XZAvC&algo_pvid=bf0fa063-3a18-43fc-89a3-1c6856b74450&algo_exp_id=bf0fa063-3a18-43fc-89a3-1c6856b74450-43&pdp_ext_f=%7B%22order%22%3A%223120%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.66%211.56%21%21%211.66%211.56%21%402101e83017647451204842382e78e1%2112000037920678995%21sea%21US%212678897144%21X%211%210%21n_tag%3A-29919%3Bd%3Aff45761e%3Bm03_new_user%3A-29895&curPageLogUid=EMONetS7J3tL&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006642865467%7C_p_origin_prod%3A,Aliexpress,1,$1.85,$1.85,4P Blue
10k Resistor ,https://www.aliexpress.us/item/3256806808241885.html?spm=a2g0o.productlist.main.1.5a784384RyLXfr&algo_pvid=8d1c7f96-b3cf-4fcd-81dc-c6c4ca74b54f&algo_exp_id=8d1c7f96-b3cf-4fcd-81dc-c6c4ca74b54f-0&pdp_ext_f=%7B%22order%22%3A%2213278%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005006994556637%22%2C%22orig_item_id%22%3A%221005008081592437%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%215.29%212.65%21%21%2137.14%2118.57%21%40210328d417647453890951568ed028%2112000038983712195%21sea%21US%212678897144%21X%211%210%21n_tag%3A-29919%3Bd%3Aff45761e%3Bm03_new_user%3A-29895&curPageLogUid=eBK49bHIjc2G&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006994556637%7C_p_origin_prod%3A1005008081592437,Aliexpress,1,$3.86,$3.86,"Need 10k, 100"
Activated Carbon Filters,https://www.aliexpress.us/item/3256808818476787.html?spm=a2g0o.productlist.main.6.42dc4ba8ZNbGyp&algo_pvid=0c31d3f9-c80e-4149-b1ce-74ef255a90e8&algo_exp_id=0c31d3f9-c80e-4149-b1ce-74ef255a90e8-0&pdp_ext_f=%7B%22order%22%3A%22116%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2110.78%215.17%21%21%2175.79%2136.38%21%40210337c117648043006948971ecca9%2112000047541962588%21sea%21US%212678897144%21X%211%210%21n_tag%3A-29919%3Bd%3Aff45761e%3Bm03_new_user%3A-29895&curPageLogUid=aKtzcpalYMy9&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009004791539%7C_p_origin_prod%3A,Aliexpress,1,$5.17,$5.17,
"2,3,4 Screw Terminals",https://www.aliexpress.us/item/3256809181564120.html?spm=a2g0o.productlist.main.2.12965166moWvGy&algo_pvid=13a60d0d-62e5-4151-86e0-2566c7cce026&algo_exp_id=13a60d0d-62e5-4151-86e0-2566c7cce026-1&pdp_ext_f=%7B%22order%22%3A%22112%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%219.03%213.73%21%21%2163.48%2126.26%21%402101c59117648040717005968e5889%2112000048886781390%21sea%21US%212678897144%21X%211%210%21n_tag%3A-29919%3Bd%3Aff45761e%3Bm03_new_user%3A-29895%3BpisId%3A5000000194138700&curPageLogUid=2P0hudLQJ3kA&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009367878872%7C_p_origin_prod%3A&_gl=1*1d6imj6*_gcl_aw*R0NMLjE3NjQ3MjQxNTYuQ2owS0NRaUF1YnJKQmhDYkFSSXNBSElkeEQ5aUNBVDl0RllNV1pjcVBQSHNaOGc3cVo4TzJjYUhMY085bWtVNmFjdVA3S19kai1kTzdFQWFBcXlLRUFMd193Y0I.*_gcl_dc*R0NMLjE3NjQ3MjQxNTYuQ2owS0NRaUF1YnJKQmhDYkFSSXNBSElkeEQ5aUNBVDl0RllNV1pjcVBQSHNaOGc3cVo4TzJjYUhMY085bWtVNmFjdVA3S19kai1kTzdFQWFBcXlLRUFMd193Y0I.*_gcl_au*MTAxODg5MzUxMi4xNzU3NDM1NDU2*_ga*MzkxMzc3NTQ3LjE3NjQ2MTMzMzI.*_ga_VED1YSGNC7*czE3NjQ4MDI0NTAkbzkkZzEkdDE3NjQ4MDQwNzIkajQ0JGwwJGgw,Aliexpress,1,$3.92,$3.92,Blue
1x4 Pin 2.54 Header,https://www.aliexpress.us/item/2255800801798474.html?spm=a2g0o.productlist.main.4.4a536caeywMNKt&algo_pvid=762eda34-1402-419a-8704-b1f073102263&algo_exp_id=762eda34-1402-419a-8704-b1f073102263-3&pdp_ext_f=%7B%22order%22%3A%222203%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.35%211.30%21%21%211.35%211.30%21%402101e80317648041810687699ebc11%2110000013202368848%21sea%21US%212678897144%21X%211%210%21n_tag%3A-29919%3Bd%3Aff45761e%3Bm03_new_user%3A-29895&curPageLogUid=qweLxaOrtZxf&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A4000988113226%7C_p_origin_prod%3A,Aliexpress,1,$1.58,$1.58,
Buck Convertor ,https://www.aliexpress.us/item/3256807314089934.html?spm=a2g0o.order_list.order_list_main.65.2acd18022zAbLv&gatewayAdapt=glo2usa,Aliexpress,1,$1.60,$1.60,
,,,,,,
,,,,,,
,,,,,,
Parts Total,$51.45,,,,,
Shipping Total,$0.00,,,,,
Subtotal,$51.45,,,,,
Tax (Virginia 4.5%),$2.32,,,,,
Project Total,$53.77,,,,,
